GGA XC,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range ,Refs.
am05,True,---,---,---,"\cite{Armiento2005_085108,Mattsson2008_084714}"
apbe,True,---,---,---,\cite{Constantin2011_186406}
chachiyo,False,[1.e-04 5.e+00],[0. 5.],[0. 1.],\cite{Chachiyo2020_112669}
gam,False,[0.3796 5.    ],[2.8156 5.    ],[0. 1.],\cite{Yu2015_12146}
hcth\_a,True,---,---,---,\cite{Hamprecht1998_6264}
n12,False,[1.0000e-04 1.7492e+00],[1.7735 5.    ],[0. 1.],\cite{Peverati2012_2310}
pbe,True,---,---,---,"\cite{Perdew1996_3865,Perdew1996_3865_err}"
pbefe,True,---,---,---,\cite{Perez2015_3844}
pbeint,True,---,---,---,\cite{Fabiano2010_113104}
pbe\_mol,True,---,---,---,\cite{delCampo2012_104108}
pbe\_sol,True,---,---,---,\cite{Perdew2008_136406}
pw91,True,---,---,---,"\cite{Perdew1991,Perdew1992_6671,Perdew1992_6671_err}"
q2d,True,---,---,---,\cite{Chiodo2012_126402}
rge2,True,---,---,---,\cite{Ruzsinszky2009_763}
sg4,False,[2.4553 5.    ],[4.5691 5.    ],[0.9293 1.    ],\cite{Constantin2016_045126}
sogga11,True,---,---,---,\cite{Peverati2011_1991}
xpbe,True,---,---,---,\cite{Xu2004_4068}
